Product Name,Price,Original Price,Discount,Stock Availability,Image URL,Rating,Product Link
Jameson Jameson Irish Whiskey - 750 Ml,"KSh 2,099","KSh 2,930",28%,671 items left,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/jameson-jameson-irish-whiskey-750-ml-58538273.html
Roch RECK-531BL - 50x55CM 3 Gas Burners + 1 Hotplate Cooker - Black (1YR WRTY),"KSh 23,899","KSh 37,500",36%,45 items left,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/roch-reck-531bl-50x55cm-3-gas-burners-1-hotplate-cooker-black-1yr-wrty-286925182.html
"Smart Pro 20L Digital Microwave Oven (SMV-20L-V4 2), Black (1YR WRTY)","KSh 7,799","KSh 11,999",35%,147 items left,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/smart-pro-20l-digital-microwave-oven-smv-20l-v42-black-1yr-wrty-280221109.html
"Smart Pro SCF-180-G Chest Freezer, 140L - Silver (1YR WRTY)","KSh 28,699","KSh 33,900",15%,38 items left,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/smart-pro-scf-180-g-chest-freezer-140l-silver-1yr-wrty-280221122.html
Roch RECK-531SS - 50x55CM 3 Gas Burners + 1 Hotplate Cooker - Silver (1YR WRTY),"KSh 23,899","KSh 37,500",36%,46 items left,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/roch-reck-531ss-50x55cm-3-gas-burners-1-hotplate-cooker-silver-1yr-wrty-286925184.html
,,N/A,No Discount,Stock info unavailable,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/No link
,,N/A,No Discount,Stock info unavailable,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/No link
,,N/A,No Discount,Stock info unavailable,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/No link
,,N/A,No Discount,Stock info unavailable,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/No link
,,N/A,No Discount,Stock info unavailable,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/No link
,,N/A,No Discount,Stock info unavailable,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/No link
128GB Metal Usb Flash Drive  3D Embossment,KSh 650,"KSh 1,044",38%,Stock info unavailable,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/generic-128gb-metal-usb-flash-drive-3d-embossment-91921997.html
Stereo F9 Bluetooth Earphone  Power Headset,KSh 476,KSh 932,49%,Stock info unavailable,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/generic-stereo-f9-bluetooth-earphone-power-headset-35221857.html
Wireless Earphones Bluetooth 5.3 Finger Touch Headset HIFI Slide Cover.,KSh 631,"KSh 1,249",49%,Stock info unavailable,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/generic-wireless-earphones-bluetooth-5.3-finger-touch-headset-hifi-slide-cover.-56804919.html
128 GB Metal  Usb Flash Drive  Adapter Cable  2 In 1 Set,KSh 639,KSh 910,30%,Stock info unavailable,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/generic-128-gb-metal-usb-flash-drive-adapter-cable-2-in-1-set-91921985.html
Rechargeable Hair Clipper/Hair Trimmer/Shaving Machine,KSh 355,KSh 637,44%,Stock info unavailable,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/generic-rechargeable-hair-clipperhair-trimmershaving-machine-65405699.html
Machislet Europe And The United States Women's Fashion Long Sleeve Loose Dreeses,KSh 646 - KSh 740,"KSh 1,280",50%,Stock info unavailable,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/machislet-europe-and-the-united-states-womens-fashion-long-sleeve-loose-dreeses-194855504.html
ALagzi 2024 Mens Casual High-Top Shoes Running Sneakers - Beige,"KSh 1,693 - KSh 1,860","KSh 2,657 - KSh 3,647",54%,Stock info unavailable,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/alagzi-2024-mens-casual-high-top-shoes-running-sneakers-beige-48872199.html
ALagzi Men's Trendy Sneakers - White,"KSh 1,265 - KSh 1,390","KSh 2,138 - KSh 2,725",54%,Stock info unavailable,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/alagzi-mens-trendy-sneakers-white-121322719.html
